Author,Work,Citation,Original,English
Herodotus,The Histories,2.91.2,"ἐν ταύτῃ τῇ πόλι ἐστὶ Περσέος τοῦ Δανάης ἱρὸντετράγωνον, πέριξ δὲ αὐτοῦ φοίνικες πεφύκασι. τὰδὲ πρόπυλα τοῦ ἱροῦ λίθινα ἐστὶ κάρτα μεγάλα: ἐπὶδὲ αὐτοῖσι ἀνδριάντες δύο ἑστᾶσι λίθινοι μεγάλοι. ἐνδὲ τῷ περιβεβλημένῳ τούτῳ νηός τε ἔνι καὶ ἄγαλμαἐν αὐτῷ ἐνέστηκε τοῦ Περσέος.","In this city is a square temple of Perseus son of Danae, in a grove of palm trees. Before this temple stand great stone columns; and at the entrance, two great stone statues. In the outer court there is a shrine with an image of Perseus standing in it."
Herodotus,The Histories,2.138.3-4,"περιθέει δὲαὐτὸ αἱμασιὴ ἐγγεγλυμμένη τύποισι, ἔστι δὲ ἔσωθενἄλσος δενδρέων μεγίστων πεφυτευμένον περὶ νηὸνμέγαν, ἐν τῷ δὴ τὤγαλμα ἔνι: εὖρος δὲ καὶ μῆκος τοῦἱροῦ πάντῃ σταδίου ἐστί. [4] κατὰ μὲν δὴ τὴν ἔσοδονἐστρωμένη ἐστὶ ὁδὸς λίθου ἐπὶ σταδίους τρεῖςμάλιστά κῃ, διὰ τῆς ἀγορῆς φέρουσα ἐς τὸ πρὸς ἠῶ, εὖρος δὲ ὡς τεσσέρων πλέθρων: τῇ δὲ καὶ τῇ τῆςὁδοῦ δένδρεα οὐρανομήκεα πέφυκε: φέρει δὲ ἐςἙρμέω ἱρόν. τὸ μὲν δὴ ἱρὸν τοῦτο οὕτω ἔχει.","A stone wall, cut with figures, runs around it; within is a grove of very tall trees growing around a great shrine where the image of the goddess is; the temple is a square, each side measuring an eighth of a mile. [4] A road, paved with stone, about three eighths of a mile long leads to the entrance, running eastward through the marketplace, towards the temple of Hermes; this road is about four hundred feet wide, and bordered by trees reaching to heaven. Such is this temple."
Herodotus,The Histories,2.148.7,"ὀροφὴ δὲ πάντων τούτων λιθίνη κατάπερ οἱ τοῖχοι, οἱ δὲ τοῖχοι τύπων ἐγγεγλυμμένωνπλέοι, αὐλὴ δὲ ἑκάστη περίστυλος λίθου λευκοῦἁρμοσμένου τὰ μάλιστα. τῆς δὲ γωνίης τελευτῶντοςτοῦ λαβυρίνθου ἔχεται πυραμὶςτεσσερακοντόργυιος, ἐν τῇ ζῷα μεγάλαἐγγέγλυπται: ὁδὸς δ᾽ ἐς αὐτὴν ὑπὸ γῆν πεποίηται.","Over all this is a roof, made of stone like the walls, and the walls are covered with cut figures, and every court is set around with pillars of white stone very precisely fitted together. Near the corner where the labyrinth ends stands a pyramid two hundred and forty feet high, on which great figures are cut. A passage to this has been made underground."
Herodotus,The Histories,2.155.3," τὸ δέ μοι τῶν φανερῶν ἦν θῶμαμέγιστον παρεχόμενον, φράσω: ἔστι ἐν τῷ τεμένεϊτούτῳ Λητοῦς νηὸς ἐξ ἑνὸς λίθου πεποιημένος ἔς τεὕψος καὶ ἐς μῆκος καὶ τοῖχος ἕκαστος τούτοισι ἴσοςτεσσεράκοντα πηχέων τούτων ἕκαστον ἐστί, τὸ δὲκαταστέγασμα τῆς ὀροφῆς ἄλλος ἐπίκειται λίθος, ἔχων τὴν παρωροφίδα τετράπηχυν.","But what caused me the most wonder among the things apparent there I shall mention. In this precinct is the shrine of Leto, the height and length of whose walls is all made of a single stoneslab; each wall has an equal length and height; namely, seventy feet. Another slab makes the surface of the roof, the cornice of which is seven feet broad."
Herodotus,The Histories,2.158.2," ἦκται δὲ ἀπὸ τοῦΝείλου τὸ ὕδωρ ἐς αὐτήν: ἦκται δὲ κατύπερθε ὀλίγονΒουβάστιος πόλιος παρὰ Πάτουμον τὴν Ἀραβίηνπόλιν, ἐσέχει δὲ ἐς τὴν Ἐρυθρὴν θάλασσαν. ὀρώρυκται δὲ πρῶτον μὲν τοῦ πεδίου τοῦ Αἰγυπτίουτὰ πρὸς Ἀραβίην ἔχοντα: ἔχεται δὲ κατύπερθε τοῦπεδίου τὸ κατὰ Μέμφιν τεῖνον ὄρος, ἐν τῷ αἱλιθοτομίαι ἔνεισι:","It is fed by the Nile, and is carried from a little above Bubastis by the Arabian town of Patumus; it issues into the Red Sea. Digging began in the part of the Egyptian plain nearest to Arabia; the mountains that extend to Memphis (the mountains where the stone quarries are) come close to this plain;"
Herodotus,The Histories,2.169.5,"καὶγὰρ τὸ τοῦ Ἀμάσιος σῆμα ἑκαστέρω μὲν ἐστὶ τοῦμεγάρου ἢ τὸ τοῦ Ἀπρίεω καὶ τῶν τούτουπροπατόρων, ἔστι μέντοι καὶ τοῦτο ἐν τῇ αὐλῇ τοῦἱροῦ, παστὰς λιθίνη μεγάλη καὶ ἠσκημένη στύλοισίτε φοίνικας τὰ δένδρεα μεμιμημένοισι καὶ τῇ ἄλλῃδαπάνῃ: ἔσω δὲ ἐν τῇ παστάδι διξὰ θυρώματαἕστηκε, ἐν δὲ τοῖσι θυρώμασι ἡ θήκη ἐστί.","The tomb of Amasis is farther from the sanctuary than the tomb of Apries and his ancestors; yet it, too, is within the temple court; it is a great colonnade of stone, richly adorned, the pillars made in the form of palm trees. In this colonnade are two portals, and the place where the coffin lies is within their doors."
Herodotus,The Histories,2.175.1-3,"καὶ τοῦτο μὲν ἐν Σάι τῇ Ἀθηναίῃ προπύλαιαθωμάσια οἷα ἐξεποίησε, πολλὸν πάνταςὑπερβαλόμενος τῷ τε ὕψεϊ καὶ τῷ μεγάθεϊ, ὅσων τετὸ μέγαθος λίθων ἐστὶ καὶ ὁκοίων τεῶν: τοῦτο δὲκολοσσοὺς μεγάλους καὶ ἀνδρόσφιγγας περιμήκεαςἀνέθηκε, λίθους τε ἄλλους ἐς ἐπισκευὴν ὑπερφυέαςτὸ μέγαθος ἐκόμισε. [2] ἠγάγετο δὲ τούτων τοὺς μὲνἐκ τῶν κατὰ Μέμφιν ἐουσέων λιθοτομιέων, τοὺς δὲὑπερμεγάθεας ἐξ Ἐλεφαντίνης πόλιος πλόον καὶεἴκοσι ἡμερέων ἀπεχούσης ἀπὸ Σάιος. [3] τὸ δὲ οὐκἥκιστα αὐτῶν ἀλλὰ μάλιστα θωμάζω, ἔστι τόδε: οἴκημα μουνόλιθον ἐκόμισε ἐξ Ἐλεφαντίνης πόλιος, καὶ τοῦτο ἐκόμιζον μὲν ἐπ᾽ ἔτεα τρία, δισχίλιοι δέ οἱπροσετετάχατο ἄνδρες ἀγωγέες, καὶ οὗτοι ἅπαντεςἦσαν κυβερνῆται. τῆς δὲ στέγης ταύτης τὸ μὲν μῆκοςἔξωθεν ἐστὶ εἷς τε καὶ εἴκοσι πήχεες, εὖρος δὲτεσσερεσκαίδεκα, ὕψος δὲ ὀκτώ.","Amasis made a marvellous outer court for the temple of Athena1 at Saïs, far surpassing all in its height and size, and in the size and quality of the stone blocks; moreover, he set up huge images and vast man-headed sphinxes,2 and brought enormous blocks of stone besides for the building. [2] Some of these he brought from the stone quarries of Memphis; the largest came from the city of Elephantine,3 twenty days' journey distant by river from Saïs. [3] But what I admire most of his works is this: he brought from Elephantine a shrine made of one single block of stone; its transport took three years and two thousand men had the carriage of it, all of them pilots. This chamber is thirty-five feet long, twenty-three feet wide, thirteen feet high."
Flavius Josephus,Antiquities of the Jews,8.63,"Βάλλεται μὲν οὖν τῷ ναῷ θεμελίους ὁ βασιλεὺς ἐπὶμήκιστον τῆς γῆς βάθος ὕλης λίθων ἰσχυρᾶς καὶπρὸς χρόνον ἀντέχειν δυναμένης, οἳ τῇ τε γῇσυμφυέντες ἔμελλον ἔδαφος καὶ ἔρεισμα τῆςἐποικοδομησομένης κατασκευῆς ἔσεσθαι καὶ διὰ τὴνκάτωθεν ἰσχὺν οἴσειν ἀπόνως μέγεθός τε τῶνἐπικεισομένων καὶ κάλλους πολυτέλειαν, ᾗ βάροςἔμελλεν οὐχ ἧττον εἶναι τῶν ἄλλων ὅσα πρὸς ὕψοςκαὶ πρὸς ὄγκον κόσμου τε χάριν καὶ μεγαλουργίαςἐπενοεῖτο.","Now, therefore, the king laid the foundations of the temple very deep in the ground, and the materials were strong stones, and such as would resist the force of time; these were to unite themselves with the earth, and become a basis and a sure foundation for that superstructure which was to be erected over it; they were to be so strong, in order to sustain with ease those vast superstructures and precious ornaments, whose own weight was to be not less than the weight of those other high and heavy buildings which the king designed to be very ornamental and magnificent. They erected its entire body, quite up to the roof, of white stone; its height was sixty cubits, and its length was the same, and its breadth twenty. There was another building erected over it, equal to it in its measures; so that the entire altitude of the temple was a hundred and twenty cubits. Its front was to the east. As to the porch, they built it before the temple; its length was twenty cubits, and it was so ordered that it might agree with the breadth of the house; and it had twelve cubits in latitude, and its height was raised as high as a hundred and twenty cubits. He also built round about the temple thirty small rooms, which might include the whole temple, by their closeness one to another, and by their number and outward position round it. He also made passages through them, that they might come into on through another. Every one of these rooms had five cubits in breadth, 1 and the same in length, but in height twenty. Above these there were other rooms, and others above them, equal, both in their measures and number; so that these reached to a height equal to the lower part of the house; for the upper part had no buildings about it. The roof that was over the house was of cedar; and truly every one of these rooms had a roof of their own, that was not connected with the other rooms; but for the other parts, there was a covered roof common to them all, and built with very long beams, that passed through the rest, and rough the whole building, that so the middle walls, being strengthened by the same beams of timber, might be thereby made firmer: but as for that part of the roof that was under the beams, it was made of the same materials, and was all made smooth, and had ornaments proper for roofs, and plates of gold nailed upon them. And as he enclosed the walls with boards of cedar, so he fixed on them plates of gold, which had sculptures upon them; so that the whole temple shined, and dazzled the eyes of such as entered, by the splendor of the gold that was on every side of them, Now the whole structure of the temple was made with great skill of polished stones, and those laid together so very harmoniously and smoothly, that there appeared to the spectators no sign of any hammer, or other instrument of architecture; but as if, without any use of them, the entire materials had naturally united themselves together, that the agreement of one part with another seemed rather to have been natural, than to have arisen from the force of tools upon them. The king also had a fine contrivance for an ascent to the upper room over the temple, and that was by steps in the thickness of its wall; for it had no large door on the east end, as the lower house had, but the entrances were by the sides, through very small doors. He also overlaid the temple, both within and without, with boards of cedar, that were kept close together by thick chains, so that this contrivance was in the nature of a support and a strength to the building."
Flavius Josephus,Antiquities of the Jews,8.95,,"He encompassed this also with a building of a double row of cloisters, which stood on high upon pillars of native stone, while the roofs were of cedar, and were polished in a manner proper for such high roofs; but he made all the doors of this temple of silver."
Flavius Josephus,Antiquities of the Jews,12.228,,"And these were the contents of the epistle which was sent from the king of the Lacedemonians. But, upon the death of Joseph, the people grew seditious, on account of his sons. For whereas the elders made war against Hyrcanus, who was the youngest of Joseph's sons, the multitude was divided, but the greater part joined with the elders in this war; as did Simon the high priest, by reason he was of kin to them. However, Hyrcanus determined not to return to Jerusalem any more, but seated himself beyond Jordan, and was at perpetual war with the Arabians, and slew many of them, and took many of them captives. He also erected a strong castle, and built it entirely of white stone to the very roof, and had animals of a prodigious magnitude engraven upon it. "
