Author,Work,Citation,Original,English
Aeschines,Against Ctesiphon,3.184,"ὅτι δ᾽ ἀληθῆ λέγω, ἐξ αὐτῶν τῶν ποιημάτων γνώσεσθε. ἐπιγέγραπται γὰρ ἐπὶ τῷ μὲν πρώτῳ τῶν Ἑρμῶν:
“ἦν ἄρα κἀκεῖνοι ταλακάρδιοι, οἵ ποτε Μήδων
παισὶν ἐπ᾽ Ἠϊόνι, Στρυμόνος ἀμφὶ ῥοάς,
λιμόν τ᾽ αἴθωνα κρατερόν τ᾽ ἐπάγοντες Ἄρηα
πρῶτοι δυσμενέων εὗρον ἀμηχανίην.
υνκνοων”

ἐπὶ δὲ τῷ δευτέρῳ:
“ἡγεμόνεσσι δὲ μισθὸν Ἀθηναῖοι τάδ᾽ ἔδωκαν
ἀντ᾽ εὐεργεσίης καὶ μεγάλης ἀρετῆς.
μᾶλλόν τις τάδ᾽ ἰδὼν καὶ ἐπεσσομένων ἐθελήσει
ἀμφὶ ξυνοῖσι πράγμασι μόχθον ἔχειν.
υνκνοων”","years yet to be shall read these Ls in the marble, Gladly will toil in his turn, giving his"
Demosthenes,Against Evergus and Mnesibulus,47.18,"βούλομαι δ᾽ ὑμῖν, ὦ ἄνδρες δικασταί, καὶ τὴνδίκην διηγήσασθαι, ὅθεν ἐγένετό μοι πρὸςΘεόφημον, ἵνα εἰδῆτε ὅτι οὐ μόνον ἐμοῦ ἀδίκωςκατεδικάσατο, ἐξαπατήσας τοὺς δικαστάς, ἀλλὰ καὶ τῆς βουλῆς ἅμα τῶν πεντακοσίων τῇαὐτῇ ψήφῳ, καὶ ἄκυρα μὲν ἐποίησεν τὰδικαστήρια τὰ ὑμέτερα, ἄκυρα δὲ τὰ ψηφίσματακαὶ τοὺς νόμους, ἀπίστους δὲ τὰς ἀρχὰςκατέστησεν ὑμῖν καὶ τὰ γράμματα τὰ ἐν ταῖςστήλαις. ὃν δὲ τρόπον, ἐγὼ ὑμᾶς περὶ ἑνὸςἑκάστου διδάξω.",the inscriptions on the public stelae. These stelae were marble slabs upon which were inscribed the names of those
Demosthenes,Against Theocrines,58.56,"οὐ γὰρ δήπου Μηλίους μέν, ὦ Μοιρόκλεις, κατὰ τὸ σὸν ψήφισμα δέκα τάλαντα νῦνεἰσεπράξαμεν, ὅτι τοὺς λῃστὰς ὑπεδέξαντο, τουτονὶ δ᾽ ἀφήσομεν, ὃς καὶ τὸ σὸν ψήφισμα καὶτοὺς νόμους, δι᾽ οὓς οἰκοῦμεν τὴν πόλιν, παραβέβηκεν: καὶ τοὺς μὲν τὰς νήσουςοἰκοῦντας κωλύσομεν ἀδικεῖν, ἐφ᾽ οὓς τριήρειςδεῖ πληρώσαντας ἀναγκάσαι τὰ δίκαια ποιεῖν, ὑμᾶς δὲ τοὺς μιαρούς, οἷς αὐτοῦ δεῖ καθημένουςτουτουσὶ κατὰ τοὺς νόμους ἐπιθεῖναι δίκην, ἐάσομεν; οὔκ, ἄν γε σωφρονῆτε. λέγε τὴνστήλην.“Στήλη”",if you are wise. Read the stelê. The marble slab upon which the decree was inscribed.
Demosthenes,Against Neaera,59.105,"ὁρᾶτε, ὦ ἄνδρες Ἀθηναῖοι, ὡς καλῶς καὶδικαίως ἔγραψεν ὁ ῥήτωρ ὑπὲρ τοῦ δήπου τοῦἈθηναίων, καὶ ἠξίωσε τοὺς Πλαταιέαςλαμβάνοντας τὴν δωρεὰν πρῶτον μὲνδοκιμασθῆναι ἐν τῷ δικαστηρίῳ κατ᾽ ἄνδραἕκαστον, εἰ ἔστιν Πλαταιεὺς καὶ εἰ τῶν φίλωντῶν τῆς πόλεως, ἵνα μὴ ἐπὶ ταύτῃ τῇ προφάσειπολλοὶ μεταλάβωσι τῆς πολιτείας: ἔπειτα τοὺςδοκιμασθέντας ἀναγραφῆναι ἐν στήλῃ λιθίνῃ, καὶ στῆσαι ἐν ἀκροπόλει παρὰ τῇ θεῷ, ἵνασῴζηται ἡ δωρεὰ τοῖς ἐπιγιγνομένοις καὶ ᾖἐξελέγξαι ὅτου ἂν ἕκαστος ᾖ συγγενής.",passed the scrutiny should be inscribed upon a pillar of marble and should be set up in the Acropolis near
Diodorus Siculus,Library,17.45, ἀντιμηχανώμενοιδὲ πρὸς ταῦτα οἱ Τύριοι πρὸ μὲν τῶν τειχῶνμαρμαρίνους τροχοὺς ἵστανον καὶ διά τινωνὀργάνων τούτους δινεύοντες τὰ φερόμενα βέληκαταπελτικὰ συνέτριβον καὶ εἰς τὰ πλάγια μέρηπαράγοντες ἀπράκτους ἐποίουν τὰς τῶνἀφιεμένων πληγάς.,"defenders of the walls. In response, the Tyrians rigged marble wheels in front of the walls and causing these"
Euripides,Electra,327-8,"μέθῃ δὲ βρεχθεὶς τῆς ἐμῆς μητρὸς πόσις 
ὁ κλεινός, ὡς λέγουσιν, ἐνθρῴσκει τάφῳ 
πέτροις τε λεύει μνῆμα λάινον πατρός, 
καὶ τοῦτο τολμᾷ τοὔπος εἰς ἡμᾶς λέγειν: ","say, when soaked in drink, and pelts my father's marblemonument with stones, and dares to say this to"
Herodotus,The Histories,3.57.4,τοῖσι δὲ Σιφνίοισι ἦν τότε ἡ ἀγορὴ καὶ τὸπρυτανήιον Παρίῳ λίθῳ ἠσκημένα.,town-hall of Siphnus were adorned with Parianmarble.
Herodotus,The Histories,4.79.2, τὴνπέριξ λευκοῦ λίθου σφίγγες τε καὶ γρῦπεςἕστασαν,all surrounded by sphinxes and griffins worked in white marble; this house was struck by a thunderbolt. And though
Herodotus,The Histories,4.87.1," θεησάμενος δὲκαὶ τὸν Βόσπορον στήλας ἔστησε δύο ἐπ᾽ αὐτοῦλίθου λευκοῦ, ἐνταμὼν γράμματα ἐς μὲν τὴνἈσσύρια ","Bosporus also, he set up two pillars of white marble by it, engraving on the one in Assyrian"
Herodotus,The Histories,5.62,"ἄλλα καὶ συγκειμένου σφι πωρίνου λίθουποιέειν τὸν νηόν, Παρίου τὰ ἔμπροσθε αὐτοῦἐξεποίησαν.","temple of tufa, they made its front of Parian marble."
