Author,Work,Citation,Original,English
Pausanias,Description of Greece,1.19.6," τοῦτο ἀνὴρ Ἀθηναῖος Ἡρώδηςᾠκοδόμησε, καί οἱ τὸ πολὺ τῆς λιθοτομίας τῆςΠεντελῆσιν ἐς τὴν οἰκοδομὴν ἀνηλώθη.","This was built by Herodes, an Athenian, and the greater part of the Pentelic quarry was exhausted in its construction."
Pausanias,Description of Greece,3.21.4,"ἐπὶ θάλασσαν δὲ ἐς Γύθιον καταβαίνοντί ἐστι Λακεδαιμονίοις ἡ κώμη καλουμένη Κροκέαι καὶ

λιθοτομία: μία μὲν πέτρα συνεχὴς οὐ διήκουσα, λίθοι δὲ ὀρύσσονται σχῆμα τοῖς ποταμίοις ἐοικότες, ἄλλως μὲν δυσεργεῖς, ἢν δὲ ἐπεργασθῶσιν, ἐπικοσμήσαιεν ἂν καὶ θεῶν ἱερά, κολυμβήθραις δὲ καὶ ὕδασι συντελοῦσι μάλιστα ἐς κάλλος. θεῶν δὲ αὐτόθι πρὸ μὲν τῆς κώμης Διὸς Κροκεάτα λίθου πεποιημένον ἄγαλμα ἕστηκε, Διόσκουροι δὲ ἐπὶ τῇ λιθοτομίᾳ χαλκοῖ.","As you go down to the sea towards Gythium you come to a village called Croceae and a quarry. It is not a continuous stretch of rock, but the stones they dig out are shaped like river pebbles; they are hard to work, but when worked sanctuaries of the gods might be adorned with them, while they are especially adapted for beautifying swimming-baths and fountains. Here before the village stands an image of Zeus of Croceae in marble, and the Dioscuri in bronze are at the quarry."
Pausanias,Description of Greece,5.6.6,"οἱ δὲ Ἠλείων ἐξηγηταὶκομίσασθαί τε αὖθις Σκιλλοῦντα Ἠλείουςἔλεγον, καὶ Ξενοφῶντα, ὅτι ἔλαβε παρὰΛακεδαιμονίων τὴν γῆν, κριθῆναι μὲν ἐν τῇὈλυμπικῇ βουλῇ, τυχόντα δὲ παρὰ Ἠλείωνσυγγνώμης ἀδεῶς ἐν Σκιλλοῦντι οἰκῆσαι. καὶ δὴκαὶ ὀλίγον ἀπωτέρω τοῦ ἱεροῦ μνῆμά τεἐδείκνυτο καὶ τῆς Πεντελῆσίν ἐστι λιθοτομίαςεἰκὼν ἐπὶ τῷ τάφῳ: εἶναι δὲ αὐτὸ Ξενοφῶντοςλέγουσιν οἱ προσοικοῦντες.","The guides of Elis said that the Eleans recovered Scillus again, and that Xenophon was tried by the Olympic Council for accepting the land from the Lacedaemonians, and, obtaining pardon from the Eleans, dwelt securely in Scillus. Moreover, at a little distance from the sanctuary was shown a tomb, and upon the grave is a statue of marble from the Pentelic quarry. The neighbors say that it is the tomb of Xenophon."
Strabo,Geography,7.fragments.54,"ὅτι ἐν τῷ ἰσθμῷ τῆς Χερρονήσου τρεῖς πόλειςκεῖνται: πρὸς μὲν τῷ Μέλανι κόλπῳ Καρδία, πρὸς δὲ τῇ Προποντίδι Πακτύη, πρὸς δὲ τῇμεσογαίᾳ Λυσιμάχεια: μῆκος τοῦ ἰσθμοῦ στάδιατετταράκοντα.","The Hieron Oros discharges asphalt into the sea, near the place where the Proconnesus,131 only one hundred and twenty stadia distant, is nearest to the land; and the quarry of white marble in the Proconnesus is both large and excellent. After Selybria come the Rivers Athyras and Bathynias; and then, Byzantium and the places which come in order thereafter as far as the Cyanean Rocks. "
Strabo,Geography,8.5.7,"εὔσειστος δ᾽ ἡ Λακωνική: καὶ δὴ τοῦΤαϋγέτου κορυφάς τινας ἀπορραγῆναι τινὲςμνημονεύουσιν. εἰσὶ δὲ λατομίαι λίθουπολυτελοῦς τοῦ μὲν Ταιναρίου ἐν Ταινάρῳπαλαιαί, νεωστὶ δὲ καὶ ἐν τῷ Ταϋγέτῳ μέταλλονἀνέῳξάν τινες εὐμέγεθες, χορηγὸν ἔχοντες τὴντῶν Ῥωμαίων πολυτέλειαν."," Laconia is subject to earthquakes, and in fact some writers record that certain peaks of Taÿgetus have been broken away. And there are quarries of very costly marble—the old quarries of Taenarian marble on Taenarum; and recently some men have opened a large quarry in Taÿgetus, being supported in their undertaking by the extravagance of the Romans."
Strabo,Geography,9.1.13,"εἶτα τὸ Θριάσιον πεδίον καὶ ὁμώνυμος αἰγιαλὸςκαὶ δῆμος: εἶθ᾽ ἡ ἄκρα ἡ Ἀμφιάλη καὶ τὸὑπερκείμενον λατόμιον καὶ ὁ εἰς Σαλαμῖναπορθμὸς ὅσον διστάδιος, ὃν διαχοῦν ἐπειρᾶτοΞέρξης, ἔφθη δὲ ἡ ναυμαχία γενομένη καὶ φυγὴτῶν Περσῶν. ἐνταῦθα δὲ καὶ αἱ Φαρμακοῦσσαι, δύο νησία ὧν ἐν τῷ μείζονι Κίρκης τάφοςδείκνυται.","Then one comes to the Thriasian Plain, and the shore and deme bearing the same name. Then to Cape Amphiale and the quarry that lies above it, and to the passage to Salamis, about two stadia wide, across which Xerxes attempted to build a mole,31 but was forestalled by the naval battle and the flight of the Persians. Here, too, are the Pharmacussae, two small islands, on the larger of which is to be seen the tomb of Circe."
Strabo,Geography,9.1.23,"τῶν δ᾽ ὀρῶν τὰ μὲν ἐν ὀνόματι μάλιστά ἐστιν ὅτε Ὑμηττὸς καὶ Βριλησσὸς καὶ Λυκαβηττός, ἔτι δὲΠάρνης καὶ Κορυδαλλός. μαρμάρου δ᾽ ἐστὶ τῆς τεὙμηττίας καὶ τῆς Πεντελικῆς κάλλιστα μέταλλαπλησίον τῆς πόλεως:","Of the mountains, those which are most famous are Hymettus, Brilessus, and Lycabettus; and also Parnes and Corydallus. Near the city are most excellent quarries of marble, the Hymettian and Pentelic. "
Strabo,Geography,10.1.6,"Κάρυστος δέ ἐστιν ὑπὸ τῷ ὄρει τῇ Ὄχῃ: πλησίον δὲ τὰ Στύρα καὶ τὸ Μαρμάριον, ἐν ᾧ τὸλατόμιον τῶν [p. 629] Καρυστίων κιόνων, ἱερὸνἔχον Ἀπόλλωνος Μαρμαρίνου, ὅθεν διάπλους εἰςἉλὰς τὰς Ἀραφηνίδας. ","Carystus is at the foot of the mountain Oche; and near it are Styra and Marmarium, in which latter are the quarry of the Carystian columns19 and a temple of Apollo Marmarinus; and from here there is a passage across the strait to Halae Araphenides."
Strabo,Geography,12.2.8,"ἔστι δὲ καὶ ποταμὸς ἐν τῷ πεδίῳ τῷ πρὸ τῆςπόλεως Μέλας καλούμενος, ὅσον τετταράκοντασταδίους διέχων τῆς πόλεως, ἐν ταπεινοτέρῳ τῆςπόλεως χωρίῳ τὰς πηγὰς ἔχων. ταύτῃ μὲν οὖνἄχρηστος αὐτοῖς ἐστιν οὐχ ὑπερδέξιον ἔχων τὸῥεῦμα, εἰς ἕλη δὲ καὶ λίμνας διαχεόμενος κακοῖτὸν ἀέρα τοῦ θέρους τὸν περὶ τὴν πόλιν, καὶ τὸλατομεῖον δὲ ποιεῖ δύσχρηστον καίπερεὔχρηστον ὄν: πλαταμῶνες γὰρ εἰσίν, ἀφ᾽ ὧν τὴνλιθείαν ἔχειν ἄφθονον συμβαίνει τοῖςΜαζακηνοῖς πρὸς τὰς οἰκοδομίας, καλυπτόμεναιδ᾽ ὑπὸ τῶν ὑδάτων αἱ πλάκες ἀντιπράττουσι. καὶταῦτα δ᾽ ἐστὶ τὰ ἕλη πανταχοῦ πυρίληπτα. ","There is also a river in the plain before the city; it is called Melas, is about forty stadia distant from the city, and has its sources in a district that is below the level of the city. For this reason, therefore, it is useless to the inhabitants, since its stream is not in a favorable position higher up, but spreads abroad into marshes and lakes, and in the summertime vitiates the air round the city, and also makes the stone-quarry hard to work, though otherwise easy to work; for there are ledges of flat stones from which the Mazaceni obtain an abundant supply of stone for their buildings, but when the slabs are concealed by the waters they are hard to obtain."
Strabo,Geography,12.8.14,"Ῥωμαῖοι δ᾽ ἠλευθέρωσαν τῶν βασιλέων, ἡνίκατὴν ἄλλην Ἀσίαν Εὐμένει παρέδοσαν τὴν ἐντὸςτοῦ Ταύρου: ἦν δὲ ἐνταῦθα καὶ ἱερωσύνη τιςΜηνὸς Ἀρκαίου, πλῆθος ἔχουσα ἱεροδούλων καὶχωρίων ἱερῶν: κατελύθη δὲ μετὰ τὴν Ἀμύντουτελευτὴν ὑπὸ τῶν πεμφθέντων ἐπὶ τὴν ἐκείνουκληρονομίαν. Σύνναδα δ᾽ ἐστὶν οὐ μεγάλη πόλις: πρόκειται δ᾽ αὐτῆς ἐλαιόφυτον πεδίον ὅσονἑξήκοντα σταδίων: ἐπέκεινα δ᾽ ἐστὶ Δοκιμίακώμη, καὶ τὸ λατόμιον Συνναδικοῦ λίθου （οὕτωμὲν Ῥωμαῖοι καλοῦσιν, οἱ δ᾽ ἐπιχώριοι Δοκιμίτηνκαὶ Δοκιμαῖον）, κατ᾽ ἀρχὰς μὲν μικροὺς βώλουςἐκδιδόντος τοῦ μετάλλου, διὰ δὲ τὴν νυνὶπολυτέλειαν τῶν Ῥωμαίων κίονες ἐξαιροῦνταιμονόλιθοι μεγάλοι, πλησιάζοντες τῷἀλαβαστρίτῃ λίθῳ κατὰ τὴν ποικιλίαν, ὥστεκαίπερ πολλῆς οὔσης [p. 811] τῆς ἐπὶ θάλαττανἀγωγῆς τῶν τηλικούτων φορτίων ὅμως καὶκίονες καὶ πλάκες εἰς Ῥώμην κομίζονταιθαυμασταὶ κατὰ τὸ μέγεθος καὶ κάλλος.","And beyond it is Docimaea, a village, and also the quarry of ""Synnadic"" marble (so the Romans call it, though the natives call it ""Docimite"" or ""Docimaean ). At first this quarry yielded only stones of small size, but on account of the present extravagance of the Romans great monolithic pillars are taken from it, which in their variety of colors are nearly like the alabastrite marble; so that, although the transportation of such heavy burdens to the sea is difficult, still, both pillars and slabs, remarkable for their size and beauty, are conveyed to Rome."
