Author,Work,Book,Chapter,Line,Latin,English,Link
Vitruvius,De Architectura,1,3,1,"Partes ipsius architecturae sunt tres: aedificatio, gnomonice, machinatio. aedificatio autem divisa estbipertito, e quibus una est moenium et communiumoperum in publicis locis conlocatio, altera est privatorumaedificiorum explicatio. publicorum autem distributionessunt tres, e quibus est una defensionis, altera religionis, tertia opportunitatis. defensionis est murorumturriumque et portarum ratio ad hostium impetusperpetuo repellendos excogitata, religionis deoruminmortalium fanorum aediumque sacrarum conlocatio, opportunitatis communium locorum ad usum publicumdispositio, uti portus, fora, porticus, balinea, theatra, ambulationes ceteraque, quae isdem rationibus in publicislocis designantur.","Architecture consists of three branches; namely, building, dialling, and mechanics. Building is divided into two parts. The first regulates the general plan of the walls of a city and its public buildings; the other relates to private buildings. Public buildings are for three purposes; defence, religion, and the security of the public. Buildings for defence are those walls, towers, and gates of a town, necessary for the continual shelter of its inhabitants against the attacks of an enemy. Those for the purposes of religion are the fanes and temples of the immortal gods. Those for public convenience are gates, fora or squares for market-places, baths, theatres, walks, and the like; which, being for public use, are placed in public situations, and should be arranged to as best to meet the convenience of the public.",
Vitruvius,De Architectura,1,4,1,"In ipsis vero moenibus ea erunt principia. primum electioloci saluberrimi. is autem erit excelsus et non nebulosus, non pruinosus regionesque caeli spectans neque aestuosasneque frigidas sed temperatas, deinde si vitabiturpalustris vicinitas. cum enim aurae matutinae cum soleoriente ad oppidum pervenient et his ortae nebulaeadiungentur spiritusque bestiarum palustrium venenatoscum nebula mixtos in habitatorum corpora flatu spargent,efficient locum pestilentem. item si secundum mare eruntmoenia spectabuntque ad meridiem aut occidentem, nonerunt salubria, quod per aestatem caelum meridianumsole exoriente calescit, meridie ardet; item quod spectatad occidentem, sole exorto tepescit, meridie calet, vesperefervet.","Architecture consists of three branches; namely, building, dialling, and mechanics. Building is divided into two parts. The first regulates the general plan of the walls of a city and its public buildings; the other relates to private buildings. Public buildings are for three purposes; defence, religion, and the security of the public. Buildings for defence are those walls, towers, and gates of a town, necessary for the continual shelter of its inhabitants against the attacks of an enemy. Those for the purposes of religion are the fanes and temples of the immortal gods. Those for public convenience are gates, fora or squares for market-places, baths, theatres, walks, and the like; which, being for public use, are placed in public situations, and should be arranged to as best to meet the convenience of the public.",
Vitruvius,De Architectura,1,4,5,"Quare cavendum esse videtur in moenibus conlocandis abîs regionibus, quae caloribus flatus ad corpora hominumpossunt spargere. namque e principiis, quae Graeci???????? appellant, ut omnia, corpora sunt composita, idest e calore et umore, terreno et aere, et ita mixtionibusnaturali temperatura figurantur omnium animalium inmundo generatim qualitates.","Much care, then, should be taken so to set out the walls of a city, that it may not be obnoxious to the pestilential blasts of the hot winds. For as, according to those principles which the Greeks call ????????, all bodies are compounded of fire, water, earth, and air, by whose union and varying proportions the different qualities of animals are engendered;",
Vitruvius,De Architectura,1,4,12,"Quibus autem insidentes sunt paludes et non habent exitus profluentes neque per flumina neque per fossas, uti Pomptinae, stando putescunt et umores graves et pestilentes in îs locis emittunt.
Item in Apulia oppidum Salpia vetus, quod Diomedes ab Troia rediens constituit sive, quemadmodum nonnulli scripserunt, Elpias Rhodius, in eiusmodi locis fuerat conlocatum, ex quo incolae quotannis aegrotando laborantes aliquando pervenerunt ad M. Hostilium ab eoque publice petentes impetraverunt, ut is idoneum locum ad moenia transferenda conquireret eligeretque. tunc is moratus non est, sed statim rationibus doctissime quaesitis secundum mare mercatus est possessionem loco salubri ab senatuque populoque Romano petît, ut liceret transferre oppidum, constituitque moenia et areas divisit nummoque sestertio singulis municipibus mancipio dedit. his confectis lacum aperuit in mare et portum e lacu municipio perfecit. itaque nunc Salpini quattuor milia passus progressi ab oppido veteri habitant in salubri loco.","When the marshes are stagnant, and have no drainage by means of rivers or drains, as is the case with the Pontine marshes, they become putrid, and emit vapours of a heavy and pestilent nature. Thus the old city of Salapia, in Apulia, built, as some say, by Diomedes on his return from Troy, or, as others write, by Elphias the Rhodian, was so placed that the inhabitants were continually out of health. At length they applied to Marcus Hostilius, and publicly petitioned him, and obtained his consent, to be allowed to seek and select a more wholesome spot to which the city might be removed. Without delay, and with much judgment, he bought an estate on a healthy spot close to the sea, and requested the Roman senate and people to permit the removal of the city. He then set out the walls, and assigned a portion of the soil to each citizen at a moderate valuation. After which, opening a communication between the lake and the sea, he converted the former into an excellent harbour for the city. Thus the Salapians now inhabit a healthy situation, •four miles from their ancient city.",
Vitruvius,De Architectura,1,5,1,"Cum ergo his rationibus erit salubritatis moeniumconlocandorum explicatio regionesque electae fuerintfructibus ad alendam civitatem copiosae, et viarummunitiones aut opportunitates fluminum seu per portusmarinae subvectionis habuerit ad moenia comportationesexpeditas, tunc turrium murorumque fundamenta sicsunt facienda, uti fodiantur, si queat inveniri, ad solidumet in solido, quantum ex amplitudine operis pro rationevideatur, crassitudine ampliore quam parietum, qui supraterram sunt futuri, et ea impleantur quam solidissimastructura.","When we are satisfied with the spot fixed on for the site of the city, as well as in respect of the goodness of the air as of the abundant supply of provisions for the support of the population, the communications by good roads, and river or sea navigation for the transport of merchandise, we should take into consideration the method of constructing the walls and towers of the city. Their foundations should be carried down to a solid bottom, if such can be found, and should be built thereon of such thickness as may be necessary for the proper support of that part of the wall which stands above the natural level of the ground. They should be of the soundest workmanship and materials, and of greater thickness than the walls above.",
Vitruvius,De Architectura,1,5,2,"Item turres sunt proiciendae in exteriorem partem, uti, cum ad murum hostis impetu velit adpropinquare, aturribus dextra ac sinistra lateribus apertis telisvulnerentur. curandumque maxime videtur, ut non facilisaditus sit ad oppugnandum murum, sed itacircumdandum ad loca praecipitia et excogitandum, utiportarum itinera non sint directa sed scaeva. namque cumita factum fuerit, tum dextrum latus accedentibus, quodscuto non erit tectum, proximum erit muro. conlocandaautem oppida sunt non quadrata nec procurrentibusangulis sed circinationibus, uti hostis ex pluribus locisconspiciatur. in quibus enim anguli procurrunt, difficiliterdefenditur, quod angulus magis hostem tuetur quamcivem.","From the exterior face of the wall towers must be projected, from which an approaching enemy may be annoyed by weapons, from the embrasures of those towers, right and left. An easy approach to the walls must be provided against: indeed they should be surrounded by uneven ground, and the roads leading to the gates should be winding and turn to the left from the gates. By this arrangement, the right sides of the attacking troops, which are not covered by their shields, will be open to the weapons of the besieged. The plan of a city should not be square, nor formed with acute angles, but polygonal; so that the motions of the enemy may be open to observation. A city whose plan is acute-angled, is with difficulty defended; for such a form protects the attacker more than the attacked.",
Vitruvius,De Architectura,1,5,3,"Crassitudinem autem muri ita faciendam censeo, utiarmati homines supra obviam venientes alius alium sineinpeditione praeterire possint, dum in crassitudineperpetuae taleae oleagineae ustilatae quam creberrimeinstruantur, uti utraeque muri frontes inter se, quemadmodum fibulis, his taleis conligatae aeternamhabeant firmitatem; namque ei materiae nec caries nectempestates nec vetustas potest nocere, sed ea et in terraobruta et in aqua conlocata permanet sine vitiis utilissempiterno. itaque non solum in muro sed etiam insubstructionibus quique parietes murali crassitudineerunt faciundi, hac ratione religati non cito vitiabuntur.","The thickness of the walls should be sufficient for two armed men to pass each other with ease. The walls ought to be tied, from front to rear, with many pieces of charred olive wood; by which means the two faces, thus connected, will endure for ages. The advantage of the use of olive is, that it is neither affected by weather, by rot, or by age. Buried in the earth, or immersed in water, it lasts unimpaired: and for this reason, not only walls, but foundations, and such walls as are of extraordinary thickness, tied together therewith, are exceedingly lasting.",
Vitruvius,De Architectura,1,5,4,"Intervalla autem turrium ita sunt facienda, ut ne longiussit alia ab alia sagittae missionis, uti, si qua oppugnetur,tum a turribus, quae erunt dextra sinistra, scorpionibusreliquisque telorum missionibus hostes reiciantur. etiamque contra interiores partes turrium dividendus estmurus intervallis tam magnis, quam erunt turres, utitinera sint interioribus partibus turrium contignata, neque ea ferro fixa; hostis enim si quam partem murioccupaverit, qui repugnabunt rescindent et, si celeriteradministraverint, non patientur reliquas partes turriummurique hostem penetrare, nisi se voluerit praecipitare.","The distance between each tower should not exceed an arrow's flight; so that if, at any point between them, an attack be made, the besiegers may be repulsed by the scorpions and other missile engines stationed on the towers right and left of the point in question. The walls will be intercepted by the lower parts of the towers where they occur, leaving an interval equal to the width of the tower; which space the tower will consequently occupy: but the communication across the void inside the tower, must be of wood, not at all fastened with iron: so that, if the enemy obtain possession of any part of the walls, the wooden communication may be promptly cut away by the defenders, and thus prevent the enemy from penetrating to the other parts of the walls without the danger of precipitating themselves into the vacant hollows of the towers.",
Vitruvius,De Architectura,1,5,5,"Turres itaque rotundae aut polygonoe sunt faciendae; quadratas enim machinae celerius dissipant, quodangulos arietes tundendo frangunt, in rotundationibusautem uti cuneos ad centrum adigendo laedere nonpossunt. item munitiones muri turriumque aggeribusconiunctae maxime sunt tutiores, quod neque arietesneque suffossiones neque machinae ceterae eis valentnocere.","The towers should be made either round or polygonal. A square is a bad form, on account of its being easily fractured at the quoins by the battering-ram; whereas the circular tower has this advantage, that, when battered, the pieces of masonry whereof it is composed being cuneiform, they cannot be driven in towards their centre without displacing the whole mass. Nothing tends more to the security of walls and towers, than backing them with walls or terraces: it counteracts the effects of rams as well as of undermining.",
Vitruvius,De Architectura,1,5,6,"Sed non in omnibus locis est aggeris ratio facienda, nisiquibus extra murum ex alto loco plano pede accessusfuerit ad moenia oppugnanda. itaque in eiusmodi locisprimum fossae sunt faciendae latitudinibus etaltitudinibus quam amplissimis, deinde fundamentummuri deprimendum est infra alveum fossae et idextruendum est ea crassitudine, ut opus terrenum facilesustineatur.","It is not, however, always necessary to construct them in this manner, except in places where the besiegers might gain high ground very near the walls, from which, over level ground, an assault could be made. In the construction of ramparts, very wide and deep trenches are first to be excavated; the bottom of which must be still further dug out, for receiving the foundation of the wall. This must be of sufficient thickness to resist the pressure of the earth against it.",
