Author,Work,Book,Chapter,Line,Greek,English
Pausanias,Description of Greece,1,17,2,"ἐν δὲ τῷ γυμνασίῳ τῆς ἀγορᾶς ἀπέχοντι οὐ πολύ, Πτολεμαίου δὲ ἀπὸ τοῦ κατασκευασαμένου καλουμένῳ, λίθοι τέ εἰσιν Ἑρμαῖ θέας ἄξιοι καὶ εἰκὼν Πτολεμαίου χαλκῆ: καὶ ὅ τε Λίβυς Ἰόβας ἐνταῦθα κεῖται καὶ ὁ Χρύσιππος ὁ Σολεύς.
πρὸς δὲ τῷ γυμνασίῳ Θησέως ἐστὶν ἱερόν: γραφαὶ δέ εἰσι πρὸς Ἀμαζόνας Ἀθηναῖοι μαχόμενοι. πεποίηται δέ σφισιν ὁ πόλεμος οὗτος καὶ τῇ Ἀθηνᾷ ἐπὶ τῇ ἀσπίδι καὶ τοῦ Ὀλυμπίου Διὸς ἐπὶ τῷ βάθρῳ. γέγραπται δὲ ἐν τῷ τοῦ Θησέως ἱερῷ καὶ ἡ Κενταύρων καὶ ἡ Λαπιθῶν μάχη: Θησεὺς μὲν οὖν ἀπεκτονώς ἐστιν ἤδη Κένταυρον, τοῖς δὲ ἄλλοις ἐξ ἴσου καθέστηκεν ἔτι ἡ μάχη.","In the gymnasium not far from the market-place, called Ptolemy's from the founder, are stone Hermae well worth seeing and a likeness in bronze of Ptolemy. Here also is Juba the Libyan and Chrysippus60 of Soli. Hard by the gymnasium is a sanctuary of Theseus, where are pictures of Athenians fighting Amazons. This war they have also represented on the shield of their Athena and upon the pedestal of the Olympian Zeus. In the sanctuary of Theseus is also a painting of the battle between the Centaurs and the Lapithae. Theseus has already killed a Centaur, but elsewhere the fighting is still undecided."
Pausanias,Description of Greece,1,18,6,"πρὶν δὲ ἐς τὸ ἱερὸν ἰέναι τοῦ Διὸς τοῦ Ὀλυμπίου —Ἀδριανὸς ὁ Ῥωμαίων βασιλεὺς τόν τε ναὸν ἀνέθηκεκαὶ τὸ ἄγαλμα θέας ἄξιον, οὗ μεγέθει μέν, ὅτι μὴῬοδίοις καὶ Ῥωμαίοις εἰσὶν οἱ κολοσσοί, τὰ λοιπὰἀγάλματα ὁμοίως ἀπολείπεται, πεποίηται δὲ ἔκ τεἐλέφαντος καὶ χρυσοῦ καὶ ἔχει τέχνης εὖ πρὸς τὸμέγεθος ὁρῶσιν—, ἐνταῦθα εἰκόνες Ἀδριανοῦ δύο μένεἰσι Θασίου λίθου, δύο δὲ Αἰγυπτίου: χαλκαῖ δὲ ἑστᾶσιπρὸ τῶν κιόνων ἃς Ἀθηναῖοι καλοῦσιν ἀποίκουςπόλεις. ὁ μὲν δὴ πᾶς περίβολος σταδίων μάλιστατεσσάρων ἐστίν, ἀνδριάντων δὲ πλήρης: ἀπὸ γὰρπόλεως ἑκάστης εἰκὼν Ἀδριανοῦ βασιλέως ἀνάκειται, καὶ σφᾶς ὑπερεβάλοντο Ἀθηναῖοι τὸν κολοσσὸνἀναθέντες ὄπισθε τοῦ ναοῦ θέας ἄξιον.","Before the entrance to the sanctuary of Olympian Zeus – Hadrian the Roman emperor dedicated the temple and the statue, one worth seeing, which in size exceeds all other statues save the colossi at Rhodes and Rome, and is made of ivory and gold with an artistic skill which is remarkable when the size is taken into account – before the entrance, I say, stand statues of Hadrian, two of Thasian stone, two of Egyptian. Before the pillars stand bronze statues which the Athenians call “colonies.” The whole circumference of the precincts is about four stades, and they are full of statues; for every city has dedicated a likeness of the emperor Hadrian, and the Athenians have surpassed them in dedicating, behind the temple, the remarkable colossus."
Pausanias,Description of Greece,1,18,9,"Ἀδριανὸς δὲ κατεσκευάσατο μὲν καὶ ἄλλαἈθηναίοις, ναὸν Ἥρας καὶ Διὸς Πανελληνίου καὶ θεοῖςτοῖς πᾶσιν ἱερὸν κοινόν, τὰ δὲ ἐπιφανέστατα ἑκατόνεἰσι κίονες Φρυγίου λίθου: πεποίηνται δὲ καὶ ταῖςστοαῖς κατὰ τὰ αὐτὰ οἱ τοῖχοι. καὶ οἰκήματα ἐνταῦθάἐστιν ὀρόφῳ τε ἐπιχρύσῳ καὶ ἀλαβάστρῳ λίθῳ, πρὸς δὲἀγάλμασι κεκοσμημένα καὶ γραφαῖς: κατάκειται δὲ ἐςαὐτὰ βιβλία. καὶ γυμνάσιόν ἐστιν ἐπώνυμον Ἀδριανοῦ: κίονες δὲ καὶ ἐνταῦθα ἑκατὸν λιθοτομίας τῆς Λιβύων.","Hadrian constructed other buildings also for the Athenians: a temple of Hera and Zeus Panellenios (Common to all Greeks), a sanctuary common to all the gods, and, most famous of all, a hundred pillars of Phrygian marble. The walls too are constructed of the same material as the cloisters. And there are rooms there adorned with a gilded roof and with alabaster stone, as well as with statues and paintings. In them are kept books. There is also a gymnasium named after Hadrian; of this too the pillars are a hundred in number from the Libyan quarries."
Pausanias,Description of Greece,1,22,4,"ἐς δὲ τὴν ἀκρόπολίν ἐστιν ἔσοδος μία: ἑτέραν δὲ οὐπαρέχεται, πᾶσα ἀπότομος οὖσα καὶ τεῖχος ἔχουσαἐχυρόν. τὰ δὲ προπύλαια λίθου λευκοῦ τὴν ὀροφὴνἔχει καὶ κόσμῳ καὶ μεγέθει τῶν λίθων μέχρι γε καὶἐμοῦ προεῖχε. τὰς μὲν οὖν εἰκόνας τῶν ἱππέων οὐκ ἔχωσαφῶς εἰπεῖν, εἴτε οἱ παῖδές εἰσιν οἱ Ξενοφῶντος εἴτεἄλλως ἐς εὐπρέπειαν πεποιημέναι: τῶν δὲ προπυλαίωνἐν δεξιᾷ Νίκης ἐστὶν Ἀπτέρου ναός. ἐντεῦθεν ἡθάλασσά ἐστι σύνοπτος, καὶ ταύτῃ ῥίψας Αἰγεὺςἑαυτὸν ὡς λέγουσιν ἐτελεύτησεν.","There is but one entry to the Acropolis. It affords no other, being precipitous throughout and having a strong wall. The gateway has a roof of white marble, and down to the present day it is unrivalled for the beauty and size of its stones. Now as to the statues of the horsemen, I cannot tell for certain whether they are the sons of Xenophon or whether they were made merely to beautify the place. On the right of the gateway is a temple of Wingless Victory. From this point the sea is visible, and here it was that, according to legend, Aegeus threw him self down to his death."
Pausanias,Description of Greece,1,23,5,"ἔστι δὲ λίθος οὐ μέγας, ἀλλ᾽ ὅσον καθίζεσθαιμικρὸν ἄνδρα: ἐπὶ τούτῳ λέγουσιν, ἡνίκα Διόνυσοςἦλθεν ἐς τὴν γῆν, ἀναπαύσασθαι τὸν Σιληνόν. τοὺςγὰρ ἡλικίᾳ τῶν Σατύρων προήκοντας ὀνομάζουσιΣιληνούς: περὶ δὲ Σατύρων, οἵτινές εἰσιν, ἑτέρου πλέονἐθέλων ἐπίστασθαι πολλοῖς αὐτῶν τούτων ἕνεκα ἐςλόγους ἦλθον. ἔφη δὲ Εὔφημος Κὰρ ἀνὴρ πλέων ἐςἸταλίαν ἁμαρτεῖν ὑπὸ ἀνέμων τοῦ πλοῦ καὶ ἐς τὴν ἔξωθάλασσαν, ἐς ἣν οὐκέτι πλέουσιν, ἐξενεχθῆναι. νήσους δὲ εἶναι μὲν ἔλεγεν ἐρήμους πολλάς, ἐν δὲἄλλαις οἰκεῖν ἄνδρας ἀγρίους:","There is also a smallish stone, just large enough to serve as a seat to a little man. On it legend says Silenus rested when Dionysus came to the land. The oldest of the Satyrs they call Sileni. Wishing to know better than most people who the Satyrs are I have inquired from many about this very point. Euphemus the Carian said that on a voyage to Italy he was driven out of his course by winds and was carried into the outer sea, beyond the course of seamen. He affirmed that there were many uninhabited islands, while in others lived wild men. The sailors did not wish to put in at the latter,"
Pausanias,Description of Greece,1,26,7,"ἐμπλήσαντες δὲ ἐλαίου τὸν λύχνον τὴν αὐτὴν τοῦμέλλοντος ἔτους ἀναμένουσιν ἡμέραν, ἔλαιον δὲἐκεῖνο τὸν μεταξὺ ἐπαρκεῖ χρόνον τῷ λύχνῳ κατὰ τὰαὐτὰ ἐν ἡμέρᾳ καὶ νυκτὶ φαίνοντι. καί οἱ λίνουΚαρπασίου θρυαλλὶς ἔνεστιν, ὃ δὴ πυρὶ λίνων μόνονοὐκ ἔστιν ἁλώσιμον: φοῖνιξ δὲ ὑπὲρ τοῦ λύχνουχαλκοῦς ἀνήκων ἐς τὸν ὄροφον ἀνασπᾷ τὴν ἀτμίδα. ὁδὲ Καλλίμαχος ὁ τὸν λύχνον ποιήσας, ἀποδέων τῶνπρώτων ἐς αὐτὴν τὴν τέχνην, οὕτω σοφίᾳ πάντωνἐστὶν ἄριστος ὥστε καὶ λίθους πρῶτος ἐτρύπησε καὶὄνομα ἔθετο κατατηξίτεχνον, ἢ θεμένων ἄλλωνκατέστησεν ἐφ᾽ αὑτῷ.","Having filled the lamp with oil, they wait until the same day next year, and the oil is sufficient for the lamp during the interval, although it is alight both day and night. The wick in it is of Carpasian flax,83 the only kind of flax which is fire-proof, and a bronze palm above the lamp reaches to the roof and draws off the smoke. The Callimachus who made the lamp, although not of the first rank of artists, was yet of unparalleled cleverness, so that he was the first to drill holes through stones, and gave himself the title of Refiner of Art, or perhaps others gave the title and he adopted it as his."
Pausanias,Description of Greece,1,28,5,"καθὸ καὶ ὁ Ἄρειος πάγος. ἔστι δὲ Ἄρειος πάγοςκαλούμενος, ὅτι πρῶτος Ἄρης ἐνταῦθα ἐκρίθη, καί μοικαὶ ταῦτα δεδήλωκεν ὁ λόγος ὡς Ἁλιρρόθιον ἀνέλοικαὶ ἐφ᾽ ὅτῳ κτείνειε. κριθῆναι δὲ καὶ ὕστερον Ὀρέστηνλέγουσιν ἐπὶ τῷ φόνῳ τῆς μητρός: καὶ βωμός ἐστινἈθηνᾶς Ἀρείας, ὃν ἀνέθηκεν ἀποφυγὼν τὴν δίκην. τοὺς δὲ ἀργοὺς λίθους, ἐφ᾽ ὧν ἑστᾶσιν ὅσοι δίκαςὑπέχουσι καὶ οἱ διώκοντες, τὸν μὲν Ὕβρεως τὸν δὲἈναιδείας αὐτῶν ὀνομάζουσι.","There is also the Hill of Ares, so named because Ares was the first to be tried here; my narrative has already told that he killed Halirrhothius, and what were his grounds for this act. Afterwards, they say, Orestes was tried for killing his mother, and there is an altar to Athena Areia (Warlike), which he dedicated on being acquitted. The unhewn stones on which stand the defendants and the prosecutors, they call the stone of Outrage and the stone of Ruthlessness."
Pausanias,Description of Greece,1,32,7,"ἔστι δὲ ἐν τῷ Μαραθῶνι λίμνη τὰ πολλὰ ἑλώδης: ἐςταύτην ἀπειρίᾳ τῶν ὁδῶν φεύγοντες ἐσπίπτουσιν οἱβάρβαροι, καί σφισι τὸν φόνον τὸν πολὺν ἐπὶ τούτῳσυμβῆναι λέγουσιν: ὑπὲρ δὲ τὴν λίμνην φάτναι εἰσὶλίθου τῶν ἵππων τῶν Ἀρταφέρνους καὶ σημεῖα ἐνπέτραις σκηνῆς. ῥεῖ δὲ καὶ ποταμὸς ἐκ τῆς λίμνης, τὰμὲν πρὸς αὐτῇ τῇ λίμνῃ βοσκήμασιν ὕδωρ ἐπιτήδειονπαρεχόμενος, κατὰ δὲ τὴν ἐκβολὴν τὴν ἐς τὸ πέλαγοςἁλμυρὸς ἤδη γίνεται καὶ ἰχθύων τῶν θαλασσίωνπλήρης. ὀλίγον δὲ ἀπωτέρω τοῦ πεδίου Πανός ἐστινὄρος καὶ σπήλαιον θέας ἄξιον: ἔσοδος μὲν ἐς αὐτὸστενή, παρελθοῦσι δέ εἰσιν οἶκοι καὶ λουτρὰ καὶκαλούμενον Πανὸς αἰπόλιον, πέτραι τὰ πολλὰ αἰξὶνεἰκασμέναι.","There is at Marathon a lake which for the most part is marshy. Into this ignorance of the roads made the foreigners fall in their flight, and it is said that this accident was the cause of their great losses. Above the lake are the stone stables of Artaphernes' horses, and marks of his tent on the rocks. Out of the lake flows a river, affording near the lake itself water suitable for cattle, but near its mouth it becomes salt and full of sea fish. A little beyond the plain is the Hill of Pan and a remarkable Cave of Pan. The entrance to it is narrow, but farther in are chambers and baths and the so-called “Pan's herd of goats,” which are rocks shaped in most respects like to goats."
Pausanias,Description of Greece,1,35,3,"ἔστι δὲ ἀγορᾶς τε ἔτι ἐρείπια καὶ ναὸς Αἴαντος, ἄγαλμα δὲ ἐξ ἐβένου ξύλου: διαμένουσι δὲ καὶ ἐς τόδετῷ Αἴαντι παρὰ Ἀθηναίοις τιμαὶ αὐτῷ τε καὶΕὐρυσάκει, καὶ γὰρ Εὐρυσάκους βωμός ἐστιν ἐνἈθήναις. δείκνυται δὲ λίθος ἐν Σαλαμῖνι οὐ πόρρω τοῦλιμένος: ἐπὶ τούτου καθήμενον Τελαμῶνα ὁρᾶνλέγουσιν ἐς τὴν ναῦν ἀποπλεόντων οἱ τῶν παίδων ἐςΑὐλίδα ἐπὶ τὸν κοινὸν τῶν Ἑλλήνων στόλον.","There are still the remains of a market-place, a temple of Ajax and his statue in ebony. Even at the present day the Athenians pay honors to Ajax himself and to Eurysaces, for there is an altar of Eurysaces also at Athens. In Salamis is shown a stone not far from the harbor, on which they say that Telamon sat when he gazed at the ship in which his children were sailing away to Aulis to take part in the joint expedition of the Greeks."
Pausanias,Description of Greece,1,36,4,"μετὰ δὲ τοῦ Ἀνθεμοκρίτου τὴν στήλην Μολοττοῦ τετάφος ἐστὶν ἀξιωθέντος Ἀθηναίων καὶ τούτουστρατηγεῖν, ὅτε Πλουτάρχῳ βοηθοῦντες διέβησαν ἐςΕὔβοιαν, καὶ χωρίον Σκῖρον ἐπὶ τοιῷδε καλούμενον. Ἐλευσινίοις πολεμοῦσι πρὸς Ἐρεχθέα ἀνὴρ μάντιςἦλθεν ἐκ Δωδώνης ὄνομα Σκῖρος, ὃς καὶ τῆς Σκιράδοςἱδρύσατο Ἀθηνᾶς ἐπὶ Φαληρῷ τὸ ἀρχαῖον ἱερόν: πεσόντα δὲ αὐτὸν ἐν τῇ μάχῃ θάπτουσιν Ἐλευσίνιοιπλησίον ποταμοῦ χειμάρρου, καὶ τῷ τε χωρίῳ τὸ ὄνομαἀπὸ τοῦ ἥρωός ἐστι καὶ τῷ ποταμῷ.","After the tombstone of Anthemocritus comes the grave of Molottus, who was deemed worthy of commanding the Athenians when they crossed into Euboea129 to reinforce Plutarch,130 and also a place called Scirum, which received its name for the following reason. The Eleusinians were making war against Erechtheus when there came from Dodona a seer called Scirus, who also set up at Phalerum the ancient sanctuary of Athena Sciras. When he fell in the fighting the Elusinians buried him near a torrent, and the hero has given his name to both place and torrent."
