Author,Work,Book,Chapter,Line,Latin,English,Link
Vitruvius,De Architectura,1,5,8,"De ipso autem muro, e qua materia struatur autperficiatur, ideo non est praefiniendum, quod inomnibus locis, quas optamus copias, eas nonpossumus habere. sed ubi sunt saxa quadrata sivesilex seu caementum aut coctus later sive crudus, his erit utendum. non enim, uti Babyloneabundantes liquido bitumine pro calce et harenaex cocto latere factum habent murum, sic itempossunt omnes regiones seu locorum proprietateshabere tantas eiusdem generis utilitates, uti ex hiscomparationibus ad aeternitatem perfectushabeatur sine vitio murus.","We must, therefore, use what are found on the spot; such as square stones, flint, rubble stones, burnt or unburnt bricks;",
Vitruvius,De Architectura,1,5,8,"De ipso autem muro, e qua materia struatur autperficiatur, ideo non est praefiniendum, quod inomnibus locis, quas optamus copias, eas nonpossumus habere. sed ubi sunt saxa quadrata sivesilex seu caementum aut coctus later sive crudus, his erit utendum. non enim, uti Babyloneabundantes liquido bitumine pro calce et harenaex cocto latere factum habent murum, sic itempossunt omnes regiones seu locorum proprietateshabere tantas eiusdem generis utilitates, uti ex hiscomparationibus ad aeternitatem perfectushabeatur sine vitio murus.","for every place is not provided, as is Babylon, with such a substitute for lime and sand as burnt bricks and liquid bitumen; ",
Vitruvius,De Architectura,2,1,7,"Tum autem struentes animose et aevoprospicientes maioribus cogitationibus exvarietate artium natis, non casas sed etiam domosfundatas et latericiis parietibus aut e lapidestructas materiaque et tegula tectas perficerecoeperunt, deinde observationibus studiorum evagantibus iudiciis et incertis ad certassymmetriarum perduxerunt rationes. posteaquamanimadverterunt profusos esse partus naturae etabundantem materiae copiam ad aedificationes abea comparatam, tractando nutrierunt et auctamper artes ornaverunt voluptatibus elegantiamvitae. igitur de his rebus, quae sunt in aedificiis adusum idoneae, quibusque sunt qualitatibus etquas habeant virtutes, ut potuero, dicam.","From the courage which his gradual success naturally excited, and his engagement in those various speculations with which the arts are connected, his ideas expanded; and from building huts he soon proceeded to the erection of houses constructed with brick walls or with stones, whose roofs were of timber covered with tiles.",
Vitruvius,De Architectura,2,3,1,"Itaque primum de lateribus, qua de terra duci eosoporteat, dicam. non enim de harenoso nequecalculoso luto neque sabulone soluto suntducendi, quod, ex his generibus cum sint ducti, primum fiunt graves, deinde, cum ab imbribus inparietibus sparguntur, dilabuntur et dissolvunturpaleaeque in his non cohaerescunt propterasperitatem. faciendi autem sunt ex terra albidacretosa sive de rubrica aut etiam masculosabulone; haec enim genera propter levitatemhabent firmitatem et non sunt in opere ponde rosaet faciliter aggerantur.","I shall first treat of bricks, and the earth of which they ought to be made.",
Vitruvius,De Architectura,2,3,1,"Itaque primum de lateribus, qua de terra duci eosoporteat, dicam. non enim de harenoso nequecalculoso luto neque sabulone soluto suntducendi, quod, ex his generibus cum sint ducti, primum fiunt graves, deinde, cum ab imbribus inparietibus sparguntur, dilabuntur et dissolvunturpaleaeque in his non cohaerescunt propterasperitatem. faciendi autem sunt ex terra albidacretosa sive de rubrica aut etiam masculosabulone; haec enim genera propter levitatemhabent firmitatem et non sunt in opere ponde rosaet faciliter aggerantur.","They should be made of earth of a red or white chalky, or a strong sandy nature. These sorts of earth are ductile and cohesive, and not being heavy, bricks made of them are more easily handled in carrying up the work.",
Vitruvius,De Architectura,2,3,2,"Ducendi autem sunt per vernum tempus etautumnale, ut uno tenore siccescant. qui enim persolstitium parantur, ideo vitiosi fiunt, quod, summum corium sol acriter cum praecoquit, efficit, ut videatur aridum, interior autem sit nonsiccus; et cum postea siccescendo se contrahit, perrumpit ea, quae erant arida. ita rimosi factiefficiuntur inbecilli. maxime autem utilioreserunt, si ante biennium fuerint ducti; namque nonante possunt penitus siccescere. itaque cumrecentes et non aridi sunt structi, tectorio inductorigidoque obsolidate permanente, ipsi sidentesnon possunt eandem altitudinem, qua esttectorium, tenere contractioneque moti nonhaerent cum eo, sed ab coniunctione eiusdisparantur; igitur tectoria ab structura seiunctapropter tenuitatem per se stare non possunt, sedfranguntur, ipsique parietes fortuito sidentesvitiantur. ideo etiam Uticenses laterem, si sitaridus et ante quinquennium ductus, cum arbitriomagistratus fuerit ita probatus, tunc utuntur inparietum structuris.","The proper seasons for brick-making are the spring and autumn, because they then dry more equably. Those made in the summer solstice are defective, because the heat of the sun soon imparts to their external surfaces an appearance of sufficient dryness, whilst the internal parts of them are in a very different state; hence, when thoroughly dry, they shrink and break those parts which were dry in the first instance; and thus broken, their strength is gone. Those are best that have been made at least two years; for in a period less than that they will not dry thoroughly. When plastering is laid and set hard on bricks which are not perfectly dry, the bricks, which will naturally shrink, and consequently occupy a less space than the plastering, will thus leave the latter to stand of itself. From its being extremely thin, and not capable of supporting itself, it soon breaks into pieces; and in its failure sometimes involves even that of the wall. It is not, therefore, without reason that the inhabitants of Utica allow no bricks to be used in their buildings which are not at least five years old, and also approved by a magistrate.",
Vitruvius,De Architectura,2,3,3,"Fiunt autem laterum genera tria: unum, quodgraece Lydium appellatur, id est quo nostriutuntur, longum sesquipede, latum pede. ceterisduobus Graecorum aedificia struuntur; ex hisunum ??????????, alterum ?????????? dicitur.????? autem Graeci appellant palmum, quodmunerum datio graece ????? appellatur, id autemsemper geritur per manus palmum. ita quod estquoquoversus quinque palmorum, pentadoron, quod quattuor, tetradoron dicitur, et quae suntpublica opera, ??????????, quae privata, ?????????? struuntur.","There are three sorts of bricks; the first is that which the Greeks call Didoron (???????), being the sort we use; that is, •one foot long, and half a foot wide. The two other sorts are used in Grecian buildings; one is called Pentadoron, the other Tetradoron. By the word Doron the Greeks mean a •palm, because the word ????? signifies a gift which can be borne in the palm of the hand. That sort, therefore, which is •five palms each way is called Pentadoron; that of •four palms, Tetradoron. The former of these two sorts is used in public buildings, the latter in private.",
Vitruvius,De Architectura,2,3,4,"Fiunt autem cum his lateribus semilateria. quaecum struuntur, una parte lateribus ordines, alterasemilateres ponuntur. ergo ex utraque parte adlineam cum struuntur, alternis coriis parietesalligantur et medii lateres supra coagmentaconlocati et firmitatem et speciem faciunt utraqueparte non invenustam.  Est autem in Hispania ulteriore civitas Maxilua et Callet et in Asia Pitane, ubi lateres, cum sunt ducti et arefacti, proiecti natant in aqua. natare autem eos posse ideo videtur, quod terra est, de qua ducuntur, pumicosa. ita cum est levis, aere solidata non recipit in se nec combibit liquorem. igitur levi raraque cum sit proprietate, quocumque pondere fuerit, cogitur ab rerum natura, quemadmodum pumex uti ab aqua sustineatur. sic autem magnas habent utilitates, quod neque in aedificationibus sunt onerosi et, cum non patiantur penetrare in corpus umidam potestatem, a tempestatibus non dissolvuntur.","Each sort has half bricks made to suit it; so that when a wall is executed, the course on one of the faces of the wall shews sides of whole bricks, the other face of half bricks; and being worked to the line on each face, the bricks on each bed bond alternately over the course below. Besides the pleasant varied appearance which this method gives, it affords additional strength, by the middle of a brick, on a rising course, falling over the vertical joints of the course thereunder. The bricks of Calentum in Spain, Marseilles in France, and Pitane in Asia, are, when wrought and dried, specifically lighter than water, and hence swim thereon. This must arise from the porosity of the earth whereof they are made; the air contained in the pores, to which the water cannot penetrate, giving them a buoyant property. Earth of this sort being, therefore, of such a light and thin quality, and impervious to water, be a lump thereof of whatever size, it swims naturally like pumice-stone. Bricks of this sort are of great use for building purposes; for they are neither heavy nor liable to be injured by the rain.",
Vitruvius,De Architectura,2,8,4,"Quodsi qui noluerit in id vitium incidere, mediocavo servato secundum orthostatas intrinsecus exrubro saxo quadrato aut ex testa aut ex silicibusordinariis struat bipedales parietes, et cum hisansis ferreis et plumbo frontes vinctae sint. itaenim non acervatim, sed ordine structum opuspoterit esse sine vitio sempiternum, quod cubiliaet coagmenta eorum inter se sedentia et iuncturisalligata non protrudent opus neque orthostatasinter se religatos labi patiuntur.","He who is desirous that this may not happen to his work, should build his two face walls two feet thick either of red stone or of brick or common flint, binding them together with iron cramps run with lead, and duly preserving the middle space or cavity. ",
Vitruvius,De Architectura,2,8,5,"Itaque non est contemnenda Graecorumstructura; non enim utuntur e molli caementostructura polita, sed cum discesserunt a quadrato, ponunt de silice seu lapide duro ordinaria, et itauti latericia struentes alligant eorum alternis coriiscoagmenta, et sic maxime ad aeternitatem firmasperficiunt virtutes. haec autem duobus generibusstruuntur; ex his unum isodomum, alterumpseudisodomum appellatur.","In these respects one cannot refrain from admiring the walls of the Greeks. They make no use of soft stone in their buildings: when, however, they do not employ squared stone, they use either flint or hard stone; and, as though building with brick, they cross or break the upright joints, and thus produce the most durable work. There are two sorts of this species of work; one called ISODOMUM, the other PSEUDISODOMUM.",
