Author,Work,Book,Chapter,Line,Latin,English
Vitruvius,De Architectura,2,1,3,"Cum essent autem homines imitabili docilique natura, cotidie inventionibus gloriantes alius alii ostendebantaedificiorum effectus, et ita exercentes ingeniacertationibus in dies melioribus iudiciis efficiebantur. primumque furcis erectis et virgulis interpositis lutoparietes texerunt. alii luteas glaebas arefacientesstruebant parietes, materia eos iugumentantes, vitandoque imbres et aestus tegebant harundinibus etfronde. posteaquam per hibernas tempestates tecta nonpotuerunt imbres sustinere, fastigia facientes, lutoinducto proclinatis tectis, stillicidia deducebant.","It was thus that men, who are by nature of an imitative and docile turn of mind, and proud of their own inventions, gaining daily experience also by what had been previously executed, vied with each other in their progress towards perfection in building. The first attempt was the mere erection of few spars united together by means of timbers laid across horizontally, and covered the erections with reeds and boughs, for the purpose of sheltering themselves from the inclemency of the seasons. Finding, however, that flat coverings of this sort would not effectually shelter them in the winter season, they made their roofs of two inclined planes meeting each other in a ridge at the summit, the whole of which they covered with clay, and thus carried off the rain."
Vitruvius,De Architectura,2,1,4,"Haec autem ex îs, quae supra scriptae sunt, originibusinstituta esse possumus sic animadvertere, quod ad huncdiem nationibus exteris ex his rebus aedificiaconstituuntur, uti Gallia, Hispania, Lusitania, Aquitaniascandulis robusteis aut stramentis. apud nationemColchorum in Ponto propter silvarum abundantiamarboribus perpetuis planis dextra ac sinistra in terrapositis, spatio inter eas relicto quanto arborumlongitudines patiuntur, conlocantur in extremis partibusearum supra alterae transversae, quae circumcluduntmedium spatium habitationis. tum insuper alternistrabibus ex quattuor partibus angulos iugumentantes etita parietes arboribus statuentes ad perpendiculumimarum educunt ad altitudinem turres, intervallaque, quae relinquuntur propter crassitudinem materiae,schidiis et luto obstruunt. item tecta, recidentes adextremos angulos transtra, traiciunt gradatimcontrahentes, et ita ex quattuor partibus ad altitudinemeducunt medio metas, quas fronde et luto tegentesefficiunt barbarico more testudinata turrium tecta.","We are certain that buildings were thus originally constructed, from the present practice of uncivilized nations, whose buildings are of spars and thatch, as may be seen in Gaul, in Spain, in Portugal, and in Aquitaine. The woods of the Colchi, in Pontus, furnish such abundance of timber, that they build in the following manner. Two trees are laid level on the earth, right and left, at such distance from each other as will suit the length of the trees which are to cross and connect them. On the extreme ends of these two trees are laid two other trees transversely: the space which the house will inclose is thus marked out. The four sides being thus set out, towers are raised, whose walls consist of trees laid horizontally but kept perpendicularly over each other, the alternate layers yoking the angles. The level interstices which the thickness of the trees alternately leave, is filled in with chips and mud. On a similar principle they form their roofs, except that gradually reducing the length of the trees which traverse from angle to angle, they assume a pyramidal form. They are covered with boughs and smeared over with clay; and thus after a rude fashion of vaulting, their quadrilateral roofs are formed."
Vitruvius,De Architectura,2,1,5,"Phryges vero, qui campestribus locis sunt habitantes, propter inopiam silvarum egentes materiae eligunttumulos naturales eosque medios fossura detegentes etitinera perfodientes dilatant spatia, quantum natura locipatitur. insuper autem stipites inter se religantes metasefficiunt, quas harundinibus et sarmentis tegentesexaggerant supra habitationes e terra maximos grumos. ita hiemes calidissimas, aestates frigidissimas efficiunttectorum rationes. nonnulli ex ulva palustri componunttuguria tecta. apud ceteras quoque gentes ex cannula parisimilique ratione casarum perficiuntur constitutiones. non minus etiam Massiliae animadvertere possumus sinetegulis subacta cum paleis terra tecta. Athenis Areopagiantiquitatis exemplar ad hoc tempus luto tectum. item inCapitolio commonefacere potest et significare moresvetustatis Romuli casa et in arce sacrorum stramentistecta.",#VALUE!
Vitruvius,De Architectura,2,1,7,"Tum autem struentes animose et aevo prospicientesmaioribus cogitationibus ex varietate artium natis, noncasas sed etiam domos fundatas et latericiis parietibus aute lapide structas materiaque et tegula tectas perficerecoeperunt, deinde observationibus studiorum evagantibus iudiciis et incertis ad certas symmetriarumperduxerunt rationes. posteaquam animadverteruntprofusos esse partus naturae et abundantem materiaecopiam ad aedificationes ab ea comparatam, tractandonutrierunt et auctam per artes ornaverunt voluptatibuselegantiam vitae. igitur de his rebus, quae sunt inaedificiis ad usum idoneae, quibusque sunt qualitatibus etquas habeant virtutes, ut potuero, dicam.","From the courage which his gradual success naturally excited, and his engagement in those various speculations with which the arts are connected, his ideas expanded; and from building huts he soon proceeded to the erection of houses constructed with brick walls or with stones, whose roofs were of timber covered with tiles. Thus by experience and observation the knowledge of certain proportions was attained, which in the beginning were fluctuating and uncertain; and advantage being taken of the bounty of nature, in her supply of timber and other building materials, the rising art was so cultivated that by the help of other arts mere necessity was lost sight of; and by attending to the comforts and luxuries of civilized society, it was carried to the highest degree of perfection. I shall now, to the best of my ability, proceed to treat of those materials which are used in building, their quality, and use."
Vitruvius,De Architectura,2,8,17,"Leges publicae non patiuntur maiores crassitudines quamsesquipedales constitui loco communi; ceteri autemparietes, ne spatia angustiora fierent, eadem crassitudineconlocantur. latericii vero, nisi diplinthii aut triplinthiifuerint, sesquipedali crassitudine non possunt plus quamunam sustinere contignationem. in ea autem maiestateurbis et civium infinita frequentia innumerabileshabitationes opus est explicare. ergo cum recipere nonpossint areae planatae tantam multitudinem adhabitandum in urbe, ad auxilium altitudinis aedificiorumres ipsa coegit devenire. itaque pilis lapideis, structuristestaceis, parietibus caementiciis altitudines extructaecontignationibus crebris coaxatae cenaculorum adsummas utilitates perficiunt despectationes. ergomoenibus e contignationibus areis alto spatiomultiplicatis populus Romanus egregias habet sineinpeditione habitationes.","The public laws forbid a greater thickness than •one foot and a half to be given to walls that abut on a public way, and the other walls, to prevent loss of room, are not built thicker. Now brick walls, unless of the thickness of two or three bricks, at all events of at least one foot and a half, are not fit to carry more than one floor, so that from the great population of the city innumerable houses would be required. Since, therefore, the area it occupies would not in such case contain the number to be accommodated, it became absolutely necessary to gain in height that which could not be obtained on the plan. Thus by means of stone piers or walls of burnt bricks or unsquared stones, which were tied together by the timbers of the several floors, they obtained in the upper story excellent dining rooms. The Roman people by thus multiplying the number of stories in their houses are commodiously lodged."
Vitruvius,De Architectura,2,8,20,"Craticii vero velim quidem ne inventi essent; quantum enim celeritate et loci laxamento prosunt, tanto maiori et communi sunt calamitati, quod ad incendia uti faces sunt parati. itaque satius esse videtur inpensa testaceorum in sumptu, quam compendio craticiorum esse in periculo. etiamque in tectoriis operibus rimas hi faciunt arrectariorum et transversariorum dispositione. cum enim linuntur, recipientes umorem turgescunt, deinde siccescendo contrahuntur et ita extenuati disrumpunt tectoriorum soliditatem. sed quoniam nonnullos celeritas aut inopia aut in pendenti loco dissaeptio cogit, sic erit faciundum. solum substruatur aliae, ut sit intactum ab rudere et pavimento; obruta enim in his cum sunt, vetustate marcida fiunt; deinde subsidentia proclinantur et disrumpunt speciem tectoriorum.
De parietibus et apparitione generatim materiae eorum, quibus sint virtutibus et vitiis, quemadmodum potui, exposui; de contignationibus autem et copiis earum, quibus comparentur, ut ad vetustatem non sint infirmae, uti natura rerum monstrat, explicabo.","As to wattled walls, would they had never been invented, for though convenient and expeditiously made, they are conducive to great calamity from their acting almost like torches in case of fire. It is much better, therefore, in the first instance, to be at the expense of burnt bricks, than from parsimony to be in perpetual risk. Walls moreover, of this sort, that are covered with plaster are always full of cracks, arising from the crossing of the laths; for when the plastering is laid on wet, it swells the wood, which contracts as the work dries, breaking the plastering. But if expedition, or want of funds, drives us to the use of this sort of work, or as an expedient to bring work to a square form, let it be executed as follows. The surface of the foundation whereon it is to stand must be somewhat raised from the ground or pavement. Should it ever be placed below them it will rot, settle, and bend forward, whereby the face of the plastering will be injured. I have already treated on walls, and generally on the mode of preparing and selecting the materials for them. I shall now proceed to the use of timber in framing, and to a description of its several sorts, as also of the mode of fitting timbers together, so that they may be as durable as their nature will permit."
Vitruvius,De Architectura,2,9,1,"Materies caedenda est a primo autumno ad id tempus,quod erit antequam flare incipiat favonius. vere enimomnes arbores fiunt praegnantes et omnes suaeproprietatis virtutem efferunt in frondemanniversariosque fructus. cum ergo inanes et tumidaetemporum necessitate eorum fuerint, vanae fiunt etraritatibus inbecillae; uti etiam corpora muliebria, cumconceperint fetus, a partu non iudicantur integra, nequein venalibus ea, cum sunt praegnantia, praestantur sana, ideo quod in corpore praeseminatio crescens ex omnibuscibi potestatibus detrahit alimentum in se, et quo firmiorefficitur ad maturitatem partus, eo minus patitur essesolidum id ipsum, ex quo procreatur. itaque edito fetu, quod prius in aliud genus incrementi detrahebatur, cumdisparatione procreationis est liberatum, inanibus etpatentibus venis in se recipiens lambendo sucum etiamsolidescit et redit in pristinam naturae firmitatem.","Timber should be felled from the beginning of the Autumn up to that time when the west wind begins to blow; never in the Spring, because at that period the trees are as it were pregnant, and communicate their natural strength to the yearly leaves and fruits they shoot forth. Being empty and swelled out, they become, by their great porosity, useless and feeble, just as we see females after conception in indifferent health till the period of their bringing forth. Hence slaves about to be sold are not warranted sound if they be pregnant; for the foetus which goes on increasing in size within the body, derives nourishment from all the food which the parent consumes, and as the time of delivery approaches, the more unwell is the party by whom it is borne: as soon as the foetus is brought forth, that which was before allotted for the nourishment of another being, once more free by the separation of the foetus, returns to reinvigorate the body by the juices flowing to the large and empty vessels, and to enable it to regain its former natural strength and solidity."
Vitruvius,De Architectura,2,9,2,"Eadem ratione autumnali tempore maturitate fructuumflaccescente fronde, ex terra recipientes caudices arborumin se sucum recuperantur et restituuntur in antiquamsoliditatem. at vero aeris hiberni vis comprimit etconsolidat eas per id, ut supra scriptum est, tempus. ergosi ea ratione et eo tempore, quod est supra scriptum, caeditur materies, erit tempestiva.","So, in the Autumn, the fruits being ripened and the leaves dry, the roots draw the moisture from the earth, and the trees are by those means recovered and restored to their pristine solidity. Up to the time above-mentioned the force of the wintry air compresses and consolidates the timber, and if it be then felled the period will be seasonable."
Vitruvius,De Architectura,2,9,4,"Hoc autem ita esse licet animum advertere etiam dearbustis. ea enim cum suo quoque tempore ad imumperforata castrantur, profundunt e medullis quem habentin se superantem et vitiosum per foramina liquorem, et itasiccescendo recipiunt in se diuturnitatem. qui autem nonhabent ex arboribus exitus umores, intra concrescentesputrescunt et efficiunt inanes eas et vitiosas. ergo sistantes et vivae siccescendo non senescunt, sine dubio, cum eae ad materiam deiciuntur, cum ea ratione curataefuerint, habere poterunt magnas in aedificiis advetustatem utilitates.","That this should be the method pursued, will appear from the nature of shrubs. These, at the proper season, when pierced at the bottom, discharge from the heart through the holes made in them all the redundant and pernicious juices, and thus drying acquire strength and durability. On the contrary, when those juices do not escape, they congeal and render the tree defective and good for nothing. If, therefore, this process of draining them whilst in their growing state does not destroy their vigour, so much the more if the same rules are observed when they are about to be felled, will they last for a longer period when converted into timber for buildings."
Vitruvius,De Architectura,2,9,10,"Alnus autem, quae proxima fluminum ripis procreatur etminime materies utilis videtur, habet in se egregiasrationes. etenim est aere et igni plurimo temperata, nonmultum terreno, umore paulo. itaque in palustribus locisinfra fundamenta aedificiorum palationibus crebre fixa, recipiens in se quod minus habet in corpore liquoris, permanet inmortalis ad aeternitatem et sustinet inmaniapondera structurae et sine vitiis conservat. ita quae nonpotest extra terram paulum tempus durare, ea in umoreobruta permanet ad diuturnitatem.","The alder, which grows on the banks of rivers, and is to appearance an almost useless wood, possesses nevertheless most excellent qualities, inasmuch as it contains much air and fire, not a great deal of earth, and less water. Its freeness from water makes it almost eternal in marshy foundations used for piling under buildings, because, in these situations, it receives that moisture which it does not possess naturally. It bears immense weights and does not decay. Thus we see that timber which above ground soon decays, lasts an amazing time in a damp soil."
