" abura, bahia", mitragynaspp. (sometimes listed as hallea or fleroya genera), west and central africa,30,35,m,1,1.5,m,560,kg/m3,"3,670",n,81.1,mpa,9.56,gpa,42.9,mpa,radial,4.3,tangential,9.2,volumetric,13.3, non-durable; poor resistance to decay or insect attack. good acid resistance., takes glue and finishes well. has a slight blunting effect on cutting edges and tools due to a moderate silica content (.25%).," a general-purpose lumber used for furniture, interior millwork, plywood, and flooring.",,,,,,,
" afrormosia, afromosia, african teak", pericopsis elata, west africa,30,46,m,1,1.5,m,725,kg/m3,"6,980",n,102.9,mpa,11.83,gpa,66,mpa,radial,3.2,tangential,6.2,volumetric,9.9," rated as very durable regarding decay resistance, and is also resistant to termites and other insects."," in nearly all regards, afrormosia is easy to work with both hand and machine tools, though surfacing boards with interlocking grain may cause tearout. other downsides include a slight blunting effect on cutting edges, and the development of dark stains if left in contact with iron in damp conditions. afrormosia turns, glues, stains, and finishes well."," boatbuilding, veneer, flooring, and furniture.",,,,,,,
" afzelia, doussie", afzelia spp., africa and southeast asia,25,37,m,1,1.5,m,805,kg/m3,"8,050",n,122.3,mpa,14.44,gpa,74.1,mpa,radial,2.3,tangential,3.9,volumetric,6.3," rated as very durable. moderately resistant to termites, and variously resistant/susceptible to other insect attacks."," generally considered somewhat difficult to work on account of its interlocked grain, causing tearout during machining operations. afzelia also has a pronounced dulling effect on cutters. gluing and finishing can be variable, and some species contain water-soluble yellow deposits in the pores which can pose challenges in staining or finishing with water-based products."," furniture,cabinetry, veneer, flooring, docks, boatbuilding, exterior millwork and construction, turned objects, inlays, and other small specialty wood items.",,,,,,,
"ailanthus, tree of heaven, chinese sumac",ailanthus altissima,native to china; widely naturalized worldwide,20,30,m,0.6,1,m,600,kg/m3,"6,300",n,76.2,mpa,11.19,gpa,46.1,mpa,radial,6.1,tangential,10.8,volumetric,17.1, no data available; reported to have good insect resistance.," easy to work with hand and machine tools. turns, glues, stains, and finishes well.","cabinetry, turned objects, and paper (pulpwood).",,,,,,,
"albizia, tanga tanga","albizia spp. (a. ferruginea, a. versicolor)",tropical africa,30,40,m,0.6,1,m,605,kg/m3,"4,530",n,82.7,mpa,10.91,gpa,49.4,mpa,radial,2.7,tangential,4.6,volumetric,7.4,rated as moderately durable; poor insect resistance.,"moderately easy to work, though interlocked grain can cause tearout during surfacing operations. turns, glues, and finishes well.","furniture, veneer, and turned objects.",,,,,,,
" european alder, black alder, common alder", alnus glutinosa, western europe,20,25,m,0.3,0.6,m,495,kg/m3,"2,890",n,75.9,mpa,8.99,mpa,42.2,mpa,radial,5,tangential,9,volumetric,14," european alder is rated non-durable to perishable regarding decay resistance, and freshly cut logs should be quickly converted into lumber and dried to prevent staining or decay in the wood."," european alder is very easy to work with both hand and machine tools; it sands especially easy. the wood is rather soft, however, and care must be taken to avoid denting it in some applications. european alder has excellent gluing, staining, and finishing properties; it also turns well and behaves similar to black cherry."," veneer, plywood, charcoal for gunpowder, clogs, piles/supports, and turned items.",,,,,,,
" nepalese alder, utis", alnus nepalensis, southeast asia,20,30,m,0.6,1,m,395,kg/m3,"1,690",n,51,mpa,8.28,gpa,33.8,mpa,radial,2.4,tangential,6,volumetric,9.3," nepalese alder is rated non-durable to perishable regarding decay resistance, and freshly cut logs should be quickly converted into lumber and dried to prevent staining or decay in the wood."," nepalese alder is very easy to work with both hand and machine tools; it sands especially easy. the wood is rather soft, however, and care must be taken to avoid denting it in some applications. nepalese alder has excellent gluing, staining, and finishing properties; it also turns well and behaves similar to black cherry."," interior utility wood, plywood, boxes, crates, and turned items.",,,,,,,
" red alder, western red alder", alnus rubra, coastal western north america,30,40,m,0.6,1,m,450,kg/m3,"2,620",n,67.6,mpa,9.52,gpa,40.1,mpa,radial,4.4,tangential,7.3,volumetric,12.6," red alder is rated non-durable to perishable regarding decay resistance, and freshly cut logs should be quickly converted into lumber and dried to prevent staining or decay in the wood."," red alder is very easy to work with both hand and machine tools; it sands especially easy. the wood is rather soft, however, and care must be taken to avoid denting it in some applications. red alder has excellent gluing, staining, and finishing properties; it also turns well and behaves similar to black cherry."," veneer, plywood, furniture, cabinetry, millwork, pallets, musical instruments (electric guitar bodies), and chip/pulp wood.",,,,,,,
algarrobo blanco, prosopis alba,south america,9,12,m,0.6,1,m,785,kg/m3,"7,560",n,63.1,mpa,6.08,gpa,58.7,mpa,radial,2.2,tangential,3.1,volumetric,5.4, algarrobo blanco is rated as excellent for use in outdoor applications.," working properties are largely dictated by the quality of the wood itself. mesquite that is clear and free from defects is easy to work with hand and machine tools, but irregular grain or knots can be challenging. glues, turns, and finishes well."," flooring, firewood, fence posts, cabinetry, and furniture.",,,,,,,
" amazique, amazoue, mozambique, ovangkol, shedua", guibourtia ehie, tropical west africa,30,45,m,1,1.5,m,825,kg/m3,"5,900",n,140.3,mpa,18.6,gpa,64.2,mpa,radial,4.3,tangential,8.3,volumetric,12.1," rated as moderately durable, with good resistance to insect attack."," overall a fairly easy wood to work, though ovangkol contains silica and can therefore dull cutters prematurely. also, if the grain is interlocked, or if there is other figure present in the wood, planing and other machining operations may be troublesome and cause tearout. turns, glues and finishes well."," veneer, furniture, cabinetry, turned objects, musical instruments, and flooring.",,,,,,,
