Common Name(s),Scientific Name,Distribution,Tree Size,Average Dried Weight,Janka Hardness,Modulus of Rupture,Elastic Modulus,Crushing Strength,Shrinkage,Rot Resistance,Workability,Common Uses
" abura, bahia", mitragynaspp. (sometimes listed as hallea or fleroya genera), west and central africa," 100-115 ft (30-35 m) tall, 3-5 ft (1-1.5 m) trunk diameter", 35 lbs/ft3 (560 kg/m3),"820 lbf (3,670 n)"," 11,760 lbf/in2 (81.1 mpa)"," 1,386,000 lbf/in2 (9.56 gpa)"," 6,220 lbf/in2 (42.9 mpa)"," radial 4.3%, tangential 9.2%, volumetric 13.3%, t/r ratio 2.1", non-durable; poor resistance to decay or insect attack. good acid resistance., takes glue and finishes well. has a slight blunting effect on cutting edges and tools due to a moderate silica content (.25%).," a general-purpose lumber used for furniture, interior millwork, plywood, and flooring."
" afrormosia, afromosia, african teak", pericopsis elata, west africa,"100-150 ft (30-46 m) tall, 3-5 ft (1-1.5 m) trunk diameter",  45 lbs/ft3 (725 kg/m3)," 1,570 lbf (6,980 n)"," 14,920 lbf/in2 (102.9 mpa)"," 1,715,000 lbf/in2 (11.83 gpa)"," 9,570 lbf/in2 (66.0 mpa)"," radial 3.2%, tangential 6.2%, volumetric 9.9%, t/r ratio 1.9"," rated as very durable regarding decay resistance, and is also resistant to termites and other insects."," in nearly all regards, afrormosia is easy to work with both hand and machine tools, though surfacing boards with interlocking grain may cause tearout. other downsides include a slight blunting effect on cutting edges, and the development of dark stains if left in contact with iron in damp conditions. afrormosia turns, glues, stains, and finishes well."," boatbuilding, veneer, flooring, and furniture."
" afzelia, doussie", afzelia spp., africa and southeast asia," 80-120 ft (25-37 m) tall, 3-5 ft (1-1.5 m) trunk diameter",50 lbs/ft3 (805 kg/m3)," 1,810 lbf (8,050 n)"," 17,740 lbf/in2 (122.3 mpa)","2,094,000 lbf/in2 (14.44 gpa)"," 10,750 lbf/in2 (74.1 mpa)"," radial 2.3%, tangential 3.9%, volumetric 6.3%, t/r ratio 1.7"," rated as very durable. moderately resistant to termites, and variously resistant/susceptible to other insect attacks."," generally considered somewhat difficult to work on account of its interlocked grain, causing tearout during machining operations. afzelia also has a pronounced dulling effect on cutters. gluing and finishing can be variable, and some species contain water-soluble yellow deposits in the pores which can pose challenges in staining or finishing with water-based products."," furniture,cabinetry, veneer, flooring, docks, boatbuilding, exterior millwork and construction, turned objects, inlays, and other small specialty wood items."
"ailanthus, tree of heaven, chinese sumac",ailanthus altissima,native to china; widely naturalized worldwide,"65-100 ft (20-30 m) tall, 2-3 ft (.6-1 m) trunk diameter",37 lbs/ft3 (600 kg/m3),"1,420 lbf (6,300 n)","11,060 lbf/in2 (76.2 mpa)","1,623,000 lbf/in2 (11,19 gpa)","6,680 lbf/in2 (46.1 mpa)"," radial 6.1%, tangential 10.8%, volumetric 17.1%, t/r ratio 1.8", no data available; reported to have good insect resistance.," easy to work with hand and machine tools. turns, glues, stains, and finishes well.","cabinetry, turned objects, and paper (pulpwood)."
"albizia, tanga tanga","albizia spp. (a. ferruginea, a. versicolor)",tropical africa,"100-130 ft (30-40 m) tall, 2-3 ft (.6-1 m) trunk diameter",38 lbs/ft3 (605 kg/m3),"1,020 lbf (4,530 n)","11,990 lbf/in2 (82.7 mpa)","1,581,000 lbf/in2 (10.91 gpa)","7,160 lbf/in2 (49.4 mpa)"," radial 2.7%, tangential 4.6%, volumetric 7.4%, t/r ratio 1.7",rated as moderately durable; poor insect resistance.,"moderately easy to work, though interlocked grain can cause tearout during surfacing operations. turns, glues, and finishes well.","furniture, veneer, and turned objects."
" european alder, black alder, common alder", alnus glutinosa, western europe," 65-80 ft (20-25 m) tall, 1-2 ft (.3-.6 m) trunk diameter",  31 lbs/ft3 (495 kg/m3)," 650 lbf (2,890 n)"," 11,000 lbf/in2 (75.9 mpa)"," 1,303,000 lbf/in2 (8.99 mpa)"," 6,130 lbf/in2 (42.2 mpa)"," radial 5.0%, tangential 9.0%, volumetric 14.0%, t/r ratio 1.8"," european alder is rated non-durable to perishable regarding decay resistance, and freshly cut logs should be quickly converted into lumber and dried to prevent staining or decay in the wood."," european alder is very easy to work with both hand and machine tools; it sands especially easy. the wood is rather soft, however, and care must be taken to avoid denting it in some applications. european alder has excellent gluing, staining, and finishing properties; it also turns well and behaves similar to black cherry."," veneer, plywood, charcoal for gunpowder, clogs, piles/supports, and turned items."
" nepalese alder, utis", alnus nepalensis, southeast asia," 60-100 ft (20-30 m) tall, 2-3 ft (.6-1.0 m) trunk diameter", 25 lbs/ft3 (395 kg/m3)," 380 lbf (1,690 n)"," 7,400 lbf/in2 (51.0 mpa)"," 1,200,000 lbf/in2 (8.28 gpa)"," 4,900 lbf/in2 (33.8 mpa)"," radial 2.4%, tangential 6.0%, volumetric 9.3%, t/r ratio 2.5"," nepalese alder is rated non-durable to perishable regarding decay resistance, and freshly cut logs should be quickly converted into lumber and dried to prevent staining or decay in the wood."," nepalese alder is very easy to work with both hand and machine tools; it sands especially easy. the wood is rather soft, however, and care must be taken to avoid denting it in some applications. nepalese alder has excellent gluing, staining, and finishing properties; it also turns well and behaves similar to black cherry."," interior utility wood, plywood, boxes, crates, and turned items."
" red alder, western red alder", alnus rubra, coastal western north america," 100-130 ft (30-40 m) tall, 2-3 ft (.6-1.0 m) trunk diameter",28 lbs/ft3 (450 kg/m3)," 590 lbf (2,620 n)"," 9,800 lbf/in2 (67.6 mpa)"," 1,380,000 lbf/in2 (9.52 gpa)"," 5,820 lbf/in2 (40.1 mpa)"," radial 4.4%, tangential 7.3%, volumetric 12.6%, t/r ratio 1.7"," red alder is rated non-durable to perishable regarding decay resistance, and freshly cut logs should be quickly converted into lumber and dried to prevent staining or decay in the wood."," red alder is very easy to work with both hand and machine tools; it sands especially easy. the wood is rather soft, however, and care must be taken to avoid denting it in some applications. red alder has excellent gluing, staining, and finishing properties; it also turns well and behaves similar to black cherry."," veneer, plywood, furniture, cabinetry, millwork, pallets, musical instruments (electric guitar bodies), and chip/pulp wood."
algarrobo blanco, prosopis alba,south america,"30-40 ft (9-12 m) tall, 2-3 ft (.6-1 m) trunk diameter",49 lbs/ft3 (785 kg/m3),"1,700 lbf (7,560 n)","9,150 lbf/in2 (63.1 mpa)","882,000 lbf/in2 (6.08 gpa)","8,510lbf/in2(58.7 mpa)","radial 2.2%, tangential 3.1%, volumetric 5.4%, t/r ratio 1.4", algarrobo blanco is rated as excellent for use in outdoor applications.," working properties are largely dictated by the quality of the wood itself. mesquite that is clear and free from defects is easy to work with hand and machine tools, but irregular grain or knots can be challenging. glues, turns, and finishes well."," flooring, firewood, fence posts, cabinetry, and furniture."
" amazique, amazoue, mozambique, ovangkol, shedua", guibourtia ehie, tropical west africa," 100-150 ft (30-45 m) tall, 3-5 ft (1-1.5 m) trunk diameter",  51 lbs/ft3 (825 kg/m3)," 1,330 lbf (5,900 n)","20,350 lbf/in2 (140.3 mpa)","  2,701,000 lbf/in2 (18.6 gpa)","9,320 lbf/in2 (64.2 mpa)"," radial 4.3%, tangential 8.3%, volumetric 12.1%, t/r ratio 1.9"," rated as moderately durable, with good resistance to insect attack."," overall a fairly easy wood to work, though ovangkol contains silica and can therefore dull cutters prematurely. also, if the grain is interlocked, or if there is other figure present in the wood, planing and other machining operations may be troublesome and cause tearout. turns, glues and finishes well."," veneer, furniture, cabinetry, turned objects, musical instruments, and flooring."
